,participant,question,choice,task,trial
8425,290,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8426,290,Q13,the city council designated him,0,16
8427,290,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8428,290,Q15,If the room had been brighter,0,18
8429,290,Q16,two students because they used notes anyway.,0,19
8430,290,Q17,through which exchange of gas occurs,0,20
8431,290,Q18,who tends to resist any attempt at,0,21
8432,290,Q19,The amount of water in living cells varies,0,22
8433,290,Q20,The belief of ancient scientists was,0,23
8434,290,score,13,0,24
8435,290,absAssess1,17,0,25
8436,290,relAssess1,85,0,26
8437,290,diffOther1,7,0,27
8438,290,diffSelf1,2,0,28
8439,291,absAssess0,15,0,0
8440,291,relAssess0,61,0,1
8441,291,diffOther0,6,0,2
8442,291,diffSelf0,4,0,3
8443,291,Q1,he or she is expected to master the printed form of language.,0,4
8444,291,Q2,man and had found,0,5
8445,291,Q3,poetry and art are,0,6
8446,291,Q4,it difficult to choose,0,7
8447,291,Q5,accepting responsibility for one's own decisions.,0,8
8448,291,Q6,are native to shores,0,9
8449,291,Q7,"than a period of long, continuous study.",0,10
8450,291,Q8,those in Crime and Punishment exhibit,0,11
8451,291,Q9,portrays the feelings of many Spaniards,0,12
8452,291,Q10,and finally succeeded,0,13
8453,291,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8454,291,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8455,291,Q13,he was designated by the city council,0,16
8456,291,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8457,291,Q15,If the room was brighter,0,18
8458,291,Q16,two students due to the use of their notes.,0,19
8459,291,Q17,through which gas is exchanged,0,20
8460,291,Q18,who tends to resist any attempt at,0,21
8461,291,Q19,The amount of water in living cells varies,0,22
8462,291,Q20,The belief of ancient scientists were,0,23
8463,291,score,9,0,24
8464,291,absAssess1,12,0,25
8465,291,relAssess1,53,0,26
8466,291,diffOther1,7,0,27
8467,291,diffSelf1,6,0,28
8468,292,absAssess0,15,0,0
8469,292,relAssess0,60,0,1
8470,292,diffOther0,5,0,2
8471,292,diffSelf0,4,0,3
8472,292,Q1,he or she is expected to master the printed form of language.,0,4
8473,292,Q2,man and found,0,5
8474,292,Q3,"poetry, along with all the other arts, is",0,6
8475,292,Q4,it difficult to choose,0,7
8476,292,Q5,to accept responsibility for one's own decisions.,0,8
8477,292,Q6,are native to shores,0,9
8478,292,Q7,than a long period of continuous study.,0,10
8479,292,Q8,those in Crime and Punishment exhibit,0,11
8480,292,Q9,portrays the feelings of many Spaniards,0,12
8481,292,Q10,and finally succeeded,0,13
8482,292,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8483,292,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8484,292,Q13,he was designated by the city council,0,16
8485,292,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8486,292,Q15,If the room had been brighter,0,18
8487,292,Q16,two students because they used notes anyway.,0,19
8488,292,Q17,through which exchange of gases occurs,0,20
8489,292,Q18,who tends to resist any attempt at,0,21
8490,292,Q19,The amount of water in living cells varies,0,22
8491,292,Q20,The belief of ancient scientists was,0,23
8492,292,score,15,0,24
8493,292,absAssess1,10,0,25
8494,292,relAssess1,50,0,26
8495,292,diffOther1,5,0,27
8496,292,diffSelf1,5,0,28
8497,293,absAssess0,15,0,0
8498,293,relAssess0,70,0,1
8499,293,diffOther0,5,0,2
8500,293,diffSelf0,2,0,3
8501,293,Q1,he or she is expected to master the printed form of language.,0,4
8502,293,Q2,man and found,0,5
8503,293,Q3,"poetry, along with all the other arts, is",0,6
8504,293,Q4,it difficult to choose,0,7
8505,293,Q5,to accept responsibility for one's own decisions.,0,8
8506,293,Q6,are native to shores,0,9
8507,293,Q7,than a long period of continuous study.,0,10
8508,293,Q8,those in Crime and Punishment exhibit,0,11
8509,293,Q9,feelings,0,12
8510,293,Q10,and finally succeeded,0,13
8511,293,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8512,293,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8513,293,Q13,the city council designated him,0,16
8514,293,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8515,293,Q15,If the room had been brighter,0,18
8516,293,Q16,two students because they used notes anyway.,0,19
8517,293,Q17,through which gas is exchanged,0,20
8518,293,Q18,who tends to resist any attempt at,0,21
8519,293,Q19,The amount of water in living cells varies,0,22
8520,293,Q20,The belief of ancient scientists was,0,23
8521,293,score,14,0,24
8522,293,absAssess1,16,0,25
8523,293,relAssess1,70,0,26
8524,293,diffOther1,6,0,27
8525,293,diffSelf1,3,0,28
8526,294,absAssess0,18,0,0
8527,294,relAssess0,80,0,1
8528,294,diffOther0,4,0,2
8529,294,diffSelf0,2,0,3
8530,294,Q1,he or she faces expectations of mastering the printed form of language.,0,4
8531,294,Q2,man and there he was able to find,0,5
8532,294,Q3,poetry and art are,0,6
8533,294,Q4,it difficult to choose,0,7
8534,294,Q5,to accept responsibility for one's own decisions.,0,8
8535,294,Q6,are native to shores,0,9
8536,294,Q7,than a long period of continuous study.,0,10
8537,294,Q8,those in Crime and Punishment exhibit,0,11
8538,294,Q9,portrayal of the feelings of many Spaniards,0,12
8539,294,Q10,and finally succeeded,0,13
8540,294,Q11,had lain on the hay besides its mother and had begun to nurse as soon as the boy had set,0,14
8541,294,Q12,"whether lying alone in the crib or enjoying the company of adults, is constantly fascinated at",0,15
8542,294,Q13,the city council will designate him,0,16
8543,294,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8544,294,Q15,If the room had been brighter,0,18
8545,294,Q16,two students because of them using notes.,0,19
8546,294,Q17,through which gas is exchanged,0,20
8547,294,Q18,who tend to resist any attempt at,0,21
8548,294,Q19,The amount of water in living cells varies,0,22
8549,294,Q20,The ancient scientists beliefs were,0,23
8550,294,score,8,0,24
8551,294,absAssess1,16,0,25
8552,294,relAssess1,81,0,26
8553,294,diffOther1,7,0,27
8554,294,diffSelf1,6,0,28
8555,295,absAssess0,15,0,0
8556,295,relAssess0,50,0,1
8557,295,diffOther0,5,0,2
8558,295,diffSelf0,5,0,3
8559,295,Q1,he or she is expected to master the printed form of language.,0,4
8560,295,Q2,man and there he was able to find,0,5
8561,295,Q3,poetry along with all the other arts is,0,6
8562,295,Q4,it difficult to choose,0,7
8563,295,Q5,to accept responsibility for one's own decisions.,0,8
8564,295,Q6,are native to shores,0,9
8565,295,Q7,than a long period of continuous study.,0,10
8566,295,Q8,those in Crime and Punishment exhibit,0,11
8567,295,Q9,portrays the feelings of many Spaniards,0,12
8568,295,Q10,and finally succeeded,0,13
8569,295,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8570,295,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8571,295,Q13,he was designated by the city council,0,16
8572,295,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
8573,295,Q15,If the room had been brighter,0,18
8574,295,Q16,two students due to the use of their notes.,0,19
8575,295,Q17,through which gas is exchanged,0,20
8576,295,Q18,who tends to resist any attempt at,0,21
8577,295,Q19,The amount of water in living cells varies,0,22
8578,295,Q20,The belief of ancient scientists were,0,23
8579,295,score,12,0,24
8580,295,absAssess1,16,0,25
8581,295,relAssess1,50,0,26
8582,295,diffOther1,5,0,27
8583,295,diffSelf1,5,0,28
8584,296,absAssess0,17,0,0
8585,296,relAssess0,90,0,1
8586,296,diffOther0,5,0,2
8587,296,diffSelf0,1,0,3
8588,296,Q1,he or she faces expectations of mastering the printed form of language.,0,4
8589,296,Q2,man and there he was able to find,0,5
8590,296,Q3,"poetry, along with all the other arts, are",0,6
8591,296,Q4,it difficult to choose,0,7
8592,296,Q5,to accept responsibility for one's own decisions.,0,8
8593,296,Q6,are native to shores,0,9
8594,296,Q7,than a long period of continuous study.,0,10
8595,296,Q8,those in Crime and Punishment exhibit,0,11
8596,296,Q9,feelings,0,12
8597,296,Q10,and finally succeeded,0,13
8598,296,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8599,296,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8600,296,Q13,the city council designated him,0,16
8601,296,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8602,296,Q15,If the room had been brighter,0,18
8603,296,Q16,two students because of them using notes.,0,19
8604,296,Q17,through which gas is exchanged,0,20
8605,296,Q18,who tends to resist any attempt at,0,21
8606,296,Q19,The amount of water in living cells varies,0,22
8607,296,Q20,The belief of ancient scientists was,0,23
8608,296,score,11,0,24
8609,296,absAssess1,12,0,25
8610,296,relAssess1,70,0,26
8611,296,diffOther1,9,0,27
8612,296,diffSelf1,7,0,28
8613,297,absAssess0,15,0,0
8614,297,relAssess0,51,0,1
8615,297,diffOther0,5,0,2
8616,297,diffSelf0,6,0,3
8617,297,Q1,he or she faces expectations of mastering the printed form of language.,0,4
8618,297,Q2,man and had found,0,5
8619,297,Q3,"poetry, and other arts, is",0,6
8620,297,Q4,it difficult to choose,0,7
8621,297,Q5,to accept responsibility for one's own decisions.,0,8
8622,297,Q6,is native to most shores,0,9
8623,297,Q7,"than a period of long, continuous study.",0,10
8624,297,Q8,those in Crime and Punishment exhibit,0,11
8625,297,Q9,portrayal of the feelings of many Spaniards,0,12
8626,297,Q10,and finally succeeded,0,13
8627,297,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8628,297,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8629,297,Q13,the city council will designate him,0,16
8630,297,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
8631,297,Q15,If the room had been brighter,0,18
8632,297,Q16,two students due to the use of their notes.,0,19
8633,297,Q17,through which exchange of gas occurs,0,20
8634,297,Q18,who tends to resist any attempt at,0,21
8635,297,Q19,The amounts of water varies in living cells,0,22
8636,297,Q20,The ancient scientists believe,0,23
8637,297,score,8,0,24
8638,297,absAssess1,14,0,25
8639,297,relAssess1,51,0,26
8640,297,diffOther1,5,0,27
8641,297,diffSelf1,6,0,28
8642,298,absAssess0,15,0,0
8643,298,relAssess0,80,0,1
8644,298,diffOther0,8,0,2
8645,298,diffSelf0,2,0,3
8646,298,Q1,mastery of the printed form of language is expected of him or her.,0,4
8647,298,Q2,man and found,0,5
8648,298,Q3,"poetry, along with all the other arts, is",0,6
8649,298,Q4,it difficult to choose,0,7
8650,298,Q5,to accept responsibility for one's own decisions.,0,8
8651,298,Q6,are native to shores,0,9
8652,298,Q7,than a long period of continuous study.,0,10
8653,298,Q8,those in Crime and Punishment exhibit,0,11
8654,298,Q9,feelings,0,12
8655,298,Q10,and finally succeeded,0,13
8656,298,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8657,298,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8658,298,Q13,the city council designated him,0,16
8659,298,Q14,"Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?",0,17
8660,298,Q15,If the room had been brighter,0,18
8661,298,Q16,two students because of them using notes.,0,19
8662,298,Q17,through which exchange of gases occurs,0,20
8663,298,Q18,who tends to resist any attempt at,0,21
8664,298,Q19,The amount of water in living cells varies,0,22
8665,298,Q20,The belief of ancient scientists was,0,23
8666,298,score,14,0,24
8667,298,absAssess1,12,0,25
8668,298,relAssess1,71,0,26
8669,298,diffOther1,9,0,27
8670,298,diffSelf1,7,0,28
8671,299,absAssess0,12,0,0
8672,299,relAssess0,55,0,1
8673,299,diffOther0,6,0,2
8674,299,diffSelf0,5,0,3
8675,299,Q1,he or she faces expectations of mastering the printed form of language.,0,4
8676,299,Q2,man and there he was able to find,0,5
8677,299,Q3,"poetry, along with all the other arts, is",0,6
8678,299,Q4,it difficult in making the choice of,0,7
8679,299,Q5,to accept responsibility for one's own decisions.,0,8
8680,299,Q6,are native to shores,0,9
8681,299,Q7,than a long period of continuous study.,0,10
8682,299,Q8,those in Crime and Punishment exhibit,0,11
8683,299,Q9,feelings portrayed by Spaniards,0,12
8684,299,Q10,and finally succeeded,0,13
8685,299,Q11,had lain on the hay besides its mother and had begun to nurse as soon as the boy had set,0,14
8686,299,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8687,299,Q13,he was designated by the city council,0,16
8688,299,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8689,299,Q15,If the room had been brighter,0,18
8690,299,Q16,two students due to the use of their notes.,0,19
8691,299,Q17,through which exchange of gases occurs,0,20
8692,299,Q18,who tends to resist any attempt at,0,21
8693,299,Q19,The amount of water in living cells varies,0,22
8694,299,Q20,The belief of ancient scientists was,0,23
8695,299,score,11,0,24
8696,299,absAssess1,11,0,25
8697,299,relAssess1,45,0,26
8698,299,diffOther1,8,0,27
8699,299,diffSelf1,7,0,28
8700,300,absAssess0,18,0,0
8701,300,relAssess0,80,0,1
8702,300,diffOther0,6,0,2
8703,300,diffSelf0,3,0,3
8704,300,Q1,he or she is expected to master the printed form of language.,0,4
8705,300,Q2,man and found,0,5
8706,300,Q3,poetry along with all the other arts is,0,6
8707,300,Q4,it difficult to choose,0,7
8708,300,Q5,to accept responsibility for one's own decisions.,0,8
8709,300,Q6,are native to shores,0,9
8710,300,Q7,than a long period of continuous study.,0,10
8711,300,Q8,those in Crime and Punishment exhibit,0,11
8712,300,Q9,portrayal of the feelings of many Spaniards,0,12
8713,300,Q10,and finally succeeded,0,13
8714,300,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8715,300,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8716,300,Q13,the city council designated him,0,16
8717,300,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
8718,300,Q15,If the room had been brighter,0,18
8719,300,Q16,two students due to the use of their notes.,0,19
8720,300,Q17,through which exchange of gases occurs,0,20
8721,300,Q18,who tends to resist any attempt at,0,21
8722,300,Q19,The amount of water in living cells varies,0,22
8723,300,Q20,The belief of ancient scientists was,0,23
8724,300,score,14,0,24
8725,300,absAssess1,17,0,25
8726,300,relAssess1,75,0,26
8727,300,diffOther1,6,0,27
8728,300,diffSelf1,4,0,28
8729,301,absAssess0,14,0,0
8730,301,relAssess0,61,0,1
8731,301,diffOther0,4,0,2
8732,301,diffSelf0,3,0,3
8733,301,Q1,he or she faces expectations of mastering the printed form of language.,0,4
8734,301,Q2,man and found,0,5
8735,301,Q3,"poetry, along with all the other arts, is",0,6
8736,301,Q4,it difficult to choose,0,7
8737,301,Q5,to accept responsibility for one's own decisions.,0,8
8738,301,Q6,are native to shores,0,9
8739,301,Q7,"than a period of long, continuous study.",0,10
8740,301,Q8,those in Crime and Punishment exhibit,0,11
8741,301,Q9,portrayal of the feelings of many Spaniards,0,12
8742,301,Q10,and finally succeeded,0,13
8743,301,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
8744,301,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8745,301,Q13,he was designated by the city council,0,16
8746,301,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8747,301,Q15,If the room was brighter,0,18
8748,301,Q16,two students due to the use of their notes.,0,19
8749,301,Q17,through which gas is exchanged,0,20
8750,301,Q18,who tends to resist any attempt at,0,21
8751,301,Q19,The amounts of water varies in living cells,0,22
8752,301,Q20,The ancient scientists believe,0,23
8753,301,score,9,0,24
8754,301,absAssess1,10,0,25
8755,301,relAssess1,50,0,26
8756,301,diffOther1,5,0,27
8757,301,diffSelf1,7,0,28
8758,302,absAssess0,14,0,0
8759,302,relAssess0,50,0,1
8760,302,diffOther0,5,0,2
8761,302,diffSelf0,5,0,3
8762,302,Q1,he or she is expected to master the printed form of language.,0,4
8763,302,Q2,man and found,0,5
8764,302,Q3,"poetry, along with all the other arts, is",0,6
8765,302,Q4,it difficult to choose,0,7
8766,302,Q5,to accept responsibility for one's own decisions.,0,8
8767,302,Q6,are native to shores,0,9
8768,302,Q7,"than a long, continuous period of study.",0,10
8769,302,Q8,those in Crime and Punishment exhibit,0,11
8770,302,Q9,portrays the feelings of many Spaniards,0,12
8771,302,Q10,and finally succeeded,0,13
8772,302,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
8773,302,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8774,302,Q13,he was designated by the city council,0,16
8775,302,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8776,302,Q15,If the room had been brighter,0,18
8777,302,Q16,two students due to the use of their notes.,0,19
8778,302,Q17,through which exchange of gases occurs,0,20
8779,302,Q18,who tends to resist any attempt at,0,21
8780,302,Q19,The amount of water in living cells varies,0,22
8781,302,Q20,The ancient scientists believe,0,23
8782,302,score,13,0,24
8783,302,absAssess1,10,0,25
8784,302,relAssess1,50,0,26
8785,302,diffOther1,6,0,27
8786,302,diffSelf1,6,0,28
8787,303,absAssess0,18,0,0
8788,303,relAssess0,80,0,1
8789,303,diffOther0,5,0,2
8790,303,diffSelf0,3,0,3
8791,303,Q1,he or she is expected to master the printed form of language.,0,4
8792,303,Q2,man and found,0,5
8793,303,Q3,poetry along with all the other arts is,0,6
8794,303,Q4,it difficult to choose,0,7
8795,303,Q5,to accept responsibility for one's own decisions.,0,8
8796,303,Q6,are native to shores,0,9
8797,303,Q7,than a long period of continuous study.,0,10
8798,303,Q8,those in Crime and Punishment exhibit,0,11
8799,303,Q9,portrayal of the feelings of many Spaniards,0,12
8800,303,Q10,and finally succeeded,0,13
8801,303,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8802,303,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8803,303,Q13,he was designated by the city council,0,16
8804,303,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8805,303,Q15,If the room had been brighter,0,18
8806,303,Q16,two students due to the use of their notes.,0,19
8807,303,Q17,through which exchange of gases occurs,0,20
8808,303,Q18,who tends to resist any attempt at,0,21
8809,303,Q19,The amount of water in living cells varies,0,22
8810,303,Q20,The ancient scientists beliefs were,0,23
8811,303,score,13,0,24
8812,303,absAssess1,15,0,25
8813,303,relAssess1,65,0,26
8814,303,diffOther1,6,0,27
8815,303,diffSelf1,5,0,28
8816,304,absAssess0,16,0,0
8817,304,relAssess0,82,0,1
8818,304,diffOther0,4,0,2
8819,304,diffSelf0,3,0,3
8820,304,Q1,he or she is expected to master the printed form of language.,0,4
8821,304,Q2,man and found,0,5
8822,304,Q3,"poetry, along with all the other arts, is",0,6
8823,304,Q4,it difficult to choose,0,7
8824,304,Q5,to accept responsibility for one's own decisions.,0,8
8825,304,Q6,are native to shores,0,9
8826,304,Q7,"than a period of long, continuous study.",0,10
8827,304,Q8,those in Crime and Punishment exhibit,0,11
8828,304,Q9,feelings portrayed by Spaniards,0,12
8829,304,Q10,and finally succeeded,0,13
8830,304,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8831,304,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8832,304,Q13,he was designated by the city council,0,16
8833,304,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8834,304,Q15,If the room had been brighter,0,18
8835,304,Q16,two students because they used notes anyway.,0,19
8836,304,Q17,through which gas is exchanged,0,20
8837,304,Q18,who tends to resist any attempt at,0,21
8838,304,Q19,The amount of water in living cells varies,0,22
8839,304,Q20,The belief of ancient scientists was,0,23
8840,304,score,14,0,24
8841,304,absAssess1,12,0,25
8842,304,relAssess1,65,0,26
8843,304,diffOther1,7,0,27
8844,304,diffSelf1,6,0,28
8845,305,absAssess0,12,0,0
8846,305,relAssess0,61,0,1
8847,305,diffOther0,7,0,2
8848,305,diffSelf0,5,0,3
8849,305,Q1,he or she is expected to master the printed form of language.,0,4
8850,305,Q2,man and there he was able to find,0,5
8851,305,Q3,"poetry, along with all the other arts, is",0,6
8852,305,Q4,it difficult to choose,0,7
8853,305,Q5,to accept responsibility for one's own decisions.,0,8
8854,305,Q6,are native to shores,0,9
8855,305,Q7,"than studying for a long, continuous period.",0,10
8856,305,Q8,those in Crime and Punishment exhibit,0,11
8857,305,Q9,portrayal of the feelings of many Spaniards,0,12
8858,305,Q10,and finally succeeded,0,13
8859,305,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8860,305,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated at",0,15
8861,305,Q13,the city council designated him,0,16
8862,305,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
8863,305,Q15,If the room was brighter,0,18
8864,305,Q16,two students because of them using notes.,0,19
8865,305,Q17,through which gas is exchanged,0,20
8866,305,Q18,who tends to resist any attempt at,0,21
8867,305,Q19,The amounts of water varies in living cells,0,22
8868,305,Q20,The ancient scientists believe,0,23
8869,305,score,9,0,24
8870,305,absAssess1,7,0,25
8871,305,relAssess1,40,0,26
8872,305,diffOther1,8,0,27
8873,305,diffSelf1,8,0,28
8874,306,absAssess0,15,0,0
8875,306,relAssess0,70,0,1
8876,306,diffOther0,7,0,2
8877,306,diffSelf0,4,0,3
8878,306,Q1,he or she is expected to master the printed form of language.,0,4
8879,306,Q2,man and found,0,5
8880,306,Q3,"poetry, along with all the other arts, is",0,6
8881,306,Q4,it difficult to choose,0,7
8882,306,Q5,accepting responsibility for one's own decisions.,0,8
8883,306,Q6,are native to shores,0,9
8884,306,Q7,"than studying for a long, continuous period.",0,10
8885,306,Q8,those in Crime and Punishment exhibit,0,11
8886,306,Q9,feelings portrayed by Spaniards,0,12
8887,306,Q10,and finally succeeded,0,13
8888,306,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8889,306,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8890,306,Q13,he was designated by the city council,0,16
8891,306,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8892,306,Q15,If the room had been brighter,0,18
8893,306,Q16,two students because they used notes anyway.,0,19
8894,306,Q17,through which gas is exchanged,0,20
8895,306,Q18,who tends to resist any attempt at,0,21
8896,306,Q19,The amount of water in living cells varies,0,22
8897,306,Q20,The ancient scientists believe,0,23
8898,306,score,13,0,24
8899,306,absAssess1,10,0,25
8900,306,relAssess1,50,0,26
8901,306,diffOther1,7,0,27
8902,306,diffSelf1,6,0,28
8903,307,absAssess0,13,0,0
8904,307,relAssess0,59,0,1
8905,307,diffOther0,5,0,2
8906,307,diffSelf0,4,0,3
8907,307,Q1,he or she is expected to master the printed form of language.,0,4
8908,307,Q2,man and there he was able to find,0,5
8909,307,Q3,"poetry, along with all the other arts, is",0,6
8910,307,Q4,it difficult to choose,0,7
8911,307,Q5,accepting responsibility for one's own decisions.,0,8
8912,307,Q6,is native to shores,0,9
8913,307,Q7,"than a long, continuous period of study.",0,10
8914,307,Q8,Crime and Punishment exhibits,0,11
8915,307,Q9,portrays the feelings of many Spaniards,0,12
8916,307,Q10,and finally succeeded,0,13
8917,307,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
8918,307,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8919,307,Q13,the city council designated him,0,16
8920,307,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
8921,307,Q15,If the room had been brighter,0,18
8922,307,Q16,two students because they used notes anyway.,0,19
8923,307,Q17,through which exchange of gases occurs,0,20
8924,307,Q18,who tends to resist any attempt at,0,21
8925,307,Q19,The amounts of water varies in living cells,0,22
8926,307,Q20,The belief of ancient scientists was,0,23
8927,307,score,9,0,24
8928,307,absAssess1,11,0,25
8929,307,relAssess1,44,0,26
8930,307,diffOther1,8,0,27
8931,307,diffSelf1,7,0,28
8932,308,absAssess0,10,0,0
8933,308,relAssess0,50,0,1
8934,308,diffOther0,8,0,2
8935,308,diffSelf0,8,0,3
8936,308,Q1,he or she is expected to master the printed form of language.,0,4
8937,308,Q2,man and had found,0,5
8938,308,Q3,poetry along with all the other arts is,0,6
8939,308,Q4,it difficult to choose,0,7
8940,308,Q5,accepting responsibility for one's own decisions.,0,8
8941,308,Q6,are native to shores,0,9
8942,308,Q7,"than a period of long, continuous study.",0,10
8943,308,Q8,Crime and Punishment exhibits,0,11
8944,308,Q9,feelings portrayed by Spaniards,0,12
8945,308,Q10,and finally succeeding,0,13
8946,308,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
8947,308,Q12,"whether lying alone in the crib or enjoying the company of adults, is constantly fascinated at",0,15
8948,308,Q13,the city council will designate him,0,16
8949,308,Q14,"""Bob have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
8950,308,Q15,If rooms were brighter,0,18
8951,308,Q16,two students because of their notes.,0,19
8952,308,Q17,through which exchange of gases occurs,0,20
8953,308,Q18,who tends to resist any attempt at,0,21
8954,308,Q19,The amounts of water varies in living cells,0,22
8955,308,Q20,The ancient scientists believe,0,23
8956,308,score,4,0,24
8957,308,absAssess1,9,0,25
8958,308,relAssess1,50,0,26
8959,308,diffOther1,9,0,27
8960,308,diffSelf1,9,0,28
8961,309,absAssess0,17,0,0
8962,309,relAssess0,60,0,1
8963,309,diffOther0,5,0,2
8964,309,diffSelf0,3,0,3
8965,309,Q1,he or she is expected to master the printed form of language.,0,4
8966,309,Q2,man and found,0,5
8967,309,Q3,"poetry, along with all the other arts, is",0,6
8968,309,Q4,it difficult to choose,0,7
8969,309,Q5,accepting responsibility for one's own decisions.,0,8
8970,309,Q6,are native to shores,0,9
8971,309,Q7,"than a period of long, continuous study.",0,10
8972,309,Q8,those in Crime and Punishment exhibit,0,11
8973,309,Q9,portrays the feelings of many Spaniards,0,12
8974,309,Q10,and finally succeeded,0,13
8975,309,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
8976,309,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
8977,309,Q13,the city council designated him,0,16
8978,309,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
8979,309,Q15,If the room had been brighter,0,18
8980,309,Q16,two students because they used notes anyway.,0,19
8981,309,Q17,through which gas is exchanged,0,20
8982,309,Q18,who tends to resist any attempt at,0,21
8983,309,Q19,The amount of water in living cells varies,0,22
8984,309,Q20,The belief of ancient scientists was,0,23
8985,309,score,13,0,24
8986,309,absAssess1,15,0,25
8987,309,relAssess1,60,0,26
8988,309,diffOther1,5,0,27
8989,309,diffSelf1,3,0,28
8990,310,absAssess0,13,0,0
8991,310,relAssess0,51,0,1
8992,310,diffOther0,5,0,2
8993,310,diffSelf0,5,0,3
8994,310,Q1,he or she is expected to master the printed form of language.,0,4
8995,310,Q2,man and had found,0,5
8996,310,Q3,"poetry, along with all the other arts, is",0,6
8997,310,Q4,it difficult to choose,0,7
